,"Mes","Producción"
,jun-12,714
,jul-12,668
,ago-12,565
,sep-12,519
,oct-12,653
,nov-12,770
,dic-12,904
,ene-13,877
,feb-13,625
,mar-13,617
,abr-13,970
,may-13,937
,jun-13,913
,jul-13,"1,031"
,ago-13,770
,sep-13,860
,oct-13,"1,058"
,nov-13,"1,113"
,dic-13,"1,115"
,ene-14,1011
,feb-14,874
,mar-14,828
,abr-14,832
,may-14,"1,050"
,jun-14,944
,jul-14,"1,236"
,ago-14,"1,151"
,sep-14,912
,oct-14,"1,101"
,nov-14,"1,115"
,dic-14,"1,086"
,ene-15,1088
,feb-15,"1,029"
,mar-15,800
,abr-15,924
,may-15,"1,165"
,jun-15,"1,240"
,jul-15,"1,463"
,ago-15,"1,264"
,sep-15,"1,058"
,oct-15,"1,368"
,nov-15,"1,322"
,dic-15,"1,454"
,ene-16,"1,136"
,feb-16,"1,096"
,mar-16,944
,abr-16,"1,043"
,may-16,"1,163"
,jun-16,"1,158"
,jul-16,"1,102"
,ago-16,"1,189"
,sep-16,"1,034"
,oct-16,"1,395"
,nov-16,"1,653"
,dic-16,"1,319"
,ene-17,"1,275"
,feb-17,"1,293"
,mar-17,"1,020"
,abr-17,834
,may-17,901
,jun-17,"1,049"
,jul-17,"1,373"
,ago-17,"1,294"
,sep-17,"1,228"
,oct-17,"1,073"
,nov-17,"1,304"
,dic-17,"1,550"
,ene-18,"1,131"
,feb-18,"1,212"
,mar-18,"1,037"
,abr-18,874
,may-18,"1,188"
,jun-18,"1,087"
,jul-18,"1,051"
,ago-18,"1,258"
,sep-18,"1,050"
,oct-18,"1,086"
,nov-18,"1,300"
,dic-18,"1,283"
,ene-19,"1,296"
,feb-19,"1,106"
,mar-19,914
,abr-19,"1,031"
,may-19,"1,115"
,jun-19,"1,211"
,jul-19,"1,317"
,ago-19,"1,119"
,sep-19,"1,088"
,oct-19,"1,369"
,nov-19,"1,506"
