IdPeaje,Peaje,UltimoFechaCambioPeaje,IdCategoriaTarifa,Valor
25,ALBARRACÍN,01/16/2024 12:00:00 AM,III,29300
26,CISNEROS,01/16/2024 12:00:00 AM,III,21900
27,PUERTO BERRÍO,01/16/2024 12:00:00 AM,III,12100
28,LA APARTADA,01/16/2024 12:00:00 AM,III,23700
30,EL PLACER,01/16/2024 12:00:00 AM,III,33600
31,LOBOGUERRERO,01/16/2024 12:00:00 AM,III,27400
33,PAVAS,01/16/2024 12:00:00 AM,III,17500
34,SANTÁGUEDA,01/16/2024 12:00:00 AM,III,17500
35,SAN BERNARDO,01/16/2024 12:00:00 AM,III,17500
36,SUPIA,01/16/2024 12:00:00 AM,III,24200
37,LA PINTADA,01/16/2024 12:00:00 AM,III,18900
38,PRIMAVERA,01/16/2024 12:00:00 AM,III,24200
39,AMAGÁ,01/16/2024 12:00:00 AM,III,24200
40,LAS PALMAS,01/16/2024 12:00:00 AM,III,14700
43,GUARNE,01/16/2024 12:00:00 AM,III,23200
44,MANGUITOS,01/16/2024 12:00:00 AM,III,23700
45,PURGATORIO,01/16/2024 12:00:00 AM,III,23700
46,CEDROS,01/16/2024 12:00:00 AM,III,23700
47,LOS GARZONES 2,01/15/2024 12:00:00 AM,III,23700
48,LOS GARZONES 1,01/15/2024 12:00:00 AM,III,23700
49,MATA DE CAÑA,01/16/2024 12:00:00 AM,III,23200
51,LOS CAUCHOS,01/16/2024 12:00:00 AM,III,24200
52,NEIVA,01/16/2024 12:00:00 AM,III,23900
53,EL PATÁ,01/16/2024 12:00:00 AM,III,23900
54,FLANDES,01/16/2024 12:00:00 AM,III,23900
55,IRACÁ,01/16/2024 12:00:00 AM,III,19200
56,OCOA,01/16/2024 12:00:00 AM,III,19200
57,PUENTE AMARILLO,01/16/2024 12:00:00 AM,III,10200
58,LA LIBERTAD,01/16/2024 12:00:00 AM,III,26200
59,CASETABLA,01/16/2024 12:00:00 AM,III,8200
60,GUALANDAY,01/15/2024 12:00:00 AM,III,35000
62,EL EBANAL,01/16/2024 12:00:00 AM,III,15300
63,ALTO PINO,01/16/2024 12:00:00 AM,III,15300
64,PARAGUACHÓN,01/16/2024 12:00:00 AM,III,15300
65,LOS ACACIOS,03/23/2024 12:00:00 AM,III,11100
66,LA LOMA,01/20/2024 12:00:00 AM,III,24700
67,ALTAMIRA,01/16/2024 12:00:00 AM,III,24600
68,VILLA RICA,01/16/2024 12:00:00 AM,III,35300
69,ESTAMBUL,01/16/2024 12:00:00 AM,III,35800
70,CENCAR,01/16/2024 12:00:00 AM,III,35300
71,PASO LA TORRE,01/16/2024 12:00:00 AM,III,35300
72,CIAT,01/16/2024 12:00:00 AM,III,35800
73,ROZO,01/16/2024 12:00:00 AM,III,35300
74,MEDIACANOA,01/16/2024 12:00:00 AM,III,35300
75,CERRITO,01/16/2024 12:00:00 AM,III,35300
76,COROZAL,01/16/2024 12:00:00 AM,III,17500
77,CIRCASIA,01/16/2024 12:00:00 AM,III,24400
79,ACAPULCO,01/16/2024 12:00:00 AM,III,17900
80,TARAPACÁ I,01/16/2024 12:00:00 AM,III,21300
81,TARAPACÁ II,01/16/2024 12:00:00 AM,III,21300
82,SAN PEDRO,01/16/2024 12:00:00 AM,III,24600
83,TUTA,01/16/2024 12:00:00 AM,III,29300
84,YUCAO,01/16/2024 12:00:00 AM,III,8200
85,EL PICACHO,01/16/2024 12:00:00 AM,III,24800
88,LA ESPERANZA,01/16/2024 12:00:00 AM,III,24400
89,LAS FLORES,01/15/2024 12:00:00 AM,III,23700
90,SAN ONOFRE,01/16/2024 12:00:00 AM,III,23700
91,EL CARMEN,01/16/2024 12:00:00 AM,III,25400
92,GAMBOTE,01/16/2024 12:00:00 AM,III,27500
93,PASACABALLOS,01/16/2024 12:00:00 AM,III,26000
95,PUENTE PLATO,01/20/2024 12:00:00 AM,III,30500
96,CALAMAR,01/16/2024 12:00:00 AM,III,25000
98,EL DIFÍCIL,01/20/2024 12:00:00 AM,III,30500
99,EL COPEY,01/20/2024 12:00:00 AM,III,25800
100,VALENCIA,01/20/2024 12:00:00 AM,III,24700
101,MARAHUACO,01/16/2024 12:00:00 AM,III,20200
102,BAYUNCA,01/16/2024 12:00:00 AM,III,27500
103,GALAPA 02,01/16/2024 12:00:00 AM,III,9000
104,PUERTO COLOMBIA,01/16/2024 12:00:00 AM,III,18900
105,SABANAGRANDE,01/16/2024 12:00:00 AM,III,28000
106,PAPIROS,01/16/2024 12:00:00 AM,III,9300
107,TUCURINCA,01/20/2024 12:00:00 AM,III,27800
108,NEGUANJE,01/16/2024 12:00:00 AM,III,15300
110,COCORA,01/15/2024 12:00:00 AM,III,35900
111,ARMERO,01/16/2024 12:00:00 AM,III,15200
115,LA LIZAMA,01/16/2024 12:00:00 AM,III,25400
117,ZARAGOZA,01/16/2024 12:00:00 AM,III,19700
120,MUTATÁ,01/16/2024 12:00:00 AM,III,19700
121,FUEMIA,01/16/2024 12:00:00 AM,III,28400
122,GALAPA,01/16/2024 12:00:00 AM,III,27300
123,JUAN MINA,01/16/2024 12:00:00 AM,III,9000
124,CAMBAO,01/16/2024 12:00:00 AM,III,24400
125,SAN LUIS DE GACENO,01/16/2024 12:00:00 AM,III,28700
126,BRISAS,01/16/2024 12:00:00 AM,III,28000
127,GUAICO,01/16/2024 12:00:00 AM,III,26100
128,IRRA,01/16/2024 12:00:00 AM,III,18000
135,GUATAQUÍ,01/16/2024 12:00:00 AM,III,24400
136,SOPÓ,01/16/2024 12:00:00 AM,III,32200
139,SAN CARLOS,01/16/2024 12:00:00 AM,III,23200
144,PAMPLONITA,11/15/2023 12:00:00 AM,III,26400
152,LA GÓMEZ,01/16/2024 12:00:00 AM,III,39500
153,PAILITAS,01/16/2024 12:00:00 AM,III,27300
161,ZAMBITO,01/16/2024 12:00:00 AM,III,39500
162,AGUAS NEGRAS,01/16/2024 12:00:00 AM,III,39500
166,MORRISON,01/16/2024 12:00:00 AM,III,27300
173,CABILDO,01/16/2024 12:00:00 AM,III,19500
176,PANDEQUESO,01/16/2024 12:00:00 AM,III,16200
178,TRAPICHE,01/16/2024 12:00:00 AM,III,19500
185,ABURRÁ,01/16/2024 12:00:00 AM,III,50400
